Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,Sale Year,Sale Month
2016-09-07,"STONEMANOR, DONAGHMORE, MANORHAMILTON",Leitrim,,241000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,9
2016-04-15,"12 ST JAMES VILLAS, CAMPILE, WEXFORD",Wexford,,75000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,4
2016-10-21,"10 ARD FINN CRESCENT, STRANDHILL RD, SLIGO",Sligo,,210000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,10
2016-11-02,"1 THE OLD SCHOOLHOUSE, PORTRANE, DONABATE",Dublin,,354650.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,11
2016-07-29,"APT 5 BLOCK B, NORTH QUAY PLACE, POPES QUAY",Cork,,140000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,7
2016-03-11,"7 CONVENT RD, KINVARA, GALWAY",Galway,,178000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,3
2016-01-20,"27 LANSDOWNE VILLAGE, BALLSBRIDGE, DUBLIN 4",Dublin,,490000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,1
2016-01-07,"KYLEMORE, ABBEY, LOUGHREA",Galway,,15000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,1
2016-07-01,"APT 3 GLENHALL COMPLEX, THOMAS DAVIS ST, BLACKPOOL",Cork,,110000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,7
2016-07-07,"34 SLADE CASTLE AVE, SAGGART, CO DUBLIN",Dublin,,205000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,7
2016-08-11,"12A MCDONAGH ST, NENAGH, TIPPERARY",Tipperary,,100000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,8
2016-12-22,"38 CEDARWOOD DRIVE, LOUGHBOY, CO KILKENNY",Kilkenny,,100000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,12
2016-03-16,"14 Riberwalk, Tir Cluain, Midleton",Cork,,160000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,3
2016-09-02,"233 GLEANN NA RI, MURROUGH, RENMORE",Galway,,75000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,9
2016-12-13,"SLATT LOWER, WOLF HILL, CO LAOIS",Laois,,290000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,12
2016-09-07,"101 GLENDARA, KILL, KILDARE",Kildare,,315000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,9
2016-02-09,"COOLEENY, SHROID, LONGFORD",Longford,,50000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,2
2016-10-19,"Apartment 18 Temple Hall, Mount Saint Anne's, Milltown",Dublin,,566079.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,10
2016-12-16,"1 The Avenue, Royal Oaks, Enfield",Meath,,308370.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres,2016,12
2016-07-12,"39 ARDCAIRN, SLIGO, SLIGO",Sligo,,173000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,7
2016-09-29,"32 RIVERSTOWN HOUSE, SPENCER DOCK, DUBLIN 1",Dublin,,380000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,9
2016-09-20,"APT 10, ROCKBROOK COURT, DUBLIN RD",Westmeath,,43846.15,No,No,Second-Hand Dwelling house /Apartment,,2016,9
2016-10-22,"25 FOUNTAIN COURT, BALLINORIG, TRALEE",Kerry,,55000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,10
2016-03-04,"11 THE COURTS, MAIN STREET, NEWBRIDGE",Kildare,,90000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,3
2016-11-23,"21 TREESDALE, OFF STILLORGAN RD, BLACKROCK",Dublin,,595000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,11
2016-12-22,"GREENFIELDS, TUAM, CO GALWAY",Galway,,62500.0,No,No,Second-Hand Dwelling house /Apartment,,2016,12
2016-08-23,"3 LINDEN LEA, STILLORGAN, DUBLIN",Dublin,,600000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,8
2016-06-30,"LAWLESSTOWN, CLONMEL, TIPPERARY",Tipperary,,250000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,6
2016-04-21,"83 Lackabane Village, Killarney",Kerry,,260000.0,No,Yes,New Dwelling house /Apartment,less than 38 sq metres,2016,4
2016-06-23,"257 MOUNT MARIAN, MILFORD, DONEGAL",Donegal,,30000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,6
2016-12-21,"3 Cnoc na Ri, Top Road, Strandhill",Sligo,,225000.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,12
2016-12-09,"5 FOXCROFT STREET, PORTARLINGTON, COUNTY LAOIS",Laois,,51000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,12
2016-09-23,"19 THE WAY, MILLTREE PARK, RATOATH",Meath,,275000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,9
2016-12-23,"87 ST JOSEPHS TCE, CLARECASTLE, CO. CLARE",Clare,,36000.0,Yes,No,Second-Hand Dwelling house /Apartment,,2016,12
2016-07-07,"RATHSLEVIN, BOHOLA, CO. MAYO",Mayo,,20000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,7
2016-05-20,"CORBETTS, CAPPANAVILLE, UPPERCHURCH",Tipperary,,135000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,5
2016-05-03,"BOG ROAD, NADD, CO CORK",Cork,,65000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,5
2016-07-04,"DELMAR, LIMERICK ROAD, MEANUS",Limerick,,245000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,7
2016-02-29,"TOMBRICANE, BORRISOKANE, TIPPERARY",Tipperary,,70000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,2
2016-02-03,"40 THE GREEN, LANESBORO, CO. LONGFORD",Longford,,57000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,2
2016-03-25,"APT 18 BRIDGEWATER HALL, SUMMERHILL PARADE, DUBLIN 1",Dublin,,75000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,3
2016-10-28,"BALLYFAIR LODGE, BALLYFAIR, THE CURRAGH",Kildare,,425000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,10
2016-12-02,"24 GARDEN VILLAGE, MOUNTMELLICK, PORTLAOISE",Laois,,142000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,12
2016-08-08,"1 The Mews, Dunboyne Castle, Dunboyne",Meath,,281938.32,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,2016,8
2016-11-11,"3 CEDAR AVE, ST BRIGIDS RD, PORTUMNA",Galway,,90000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,11
2016-08-30,"30 MEADOWLANDS, OAKPARK, TRALEE",Kerry,,129000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,8
2016-10-14,"FOURTH FLOOR, 29 30 DAWSON ST, DUBLIN 2",Dublin,,200000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,10
2016-03-18,"Dwellinghouse and Lands, at Capdoo, Clane",Kildare,,300000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,3
2016-08-30,"34 BROOKVALE DOWNS, RATHFARNHAM, DUBLIN 14",Dublin,,495000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,8
2016-10-18,"15 CARRICKHILL CLOSE, PORTMARNOCK, DUBLIN",Dublin,,80000.0,Yes,No,Second-Hand Dwelling house /Apartment,,2016,10
2016-08-29,"13 GOLDENRIDGE VIEW, SKERRIES RD, RUSH DUBLIN",Dublin,,265000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,8
2016-06-14,"CORNAGILL, LETTERKENNY, DONEGAL",Donegal,,350000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,6
2016-10-25,"SHRAGH, DOONBEG, COUNTY CLARE",Clare,,63000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,10
2016-10-21,"147 CIRCULAR RD, ENNIS, CO CLARE",Clare,,80000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,10
2016-04-25,"27 EGLANTINE CRESCENT, QUARTERSTOWN, MALLOW",Cork,,125000.0,Yes,No,Second-Hand Dwelling house /Apartment,,2016,4
2016-04-20,"5 SONAS VILLAGE, ENNISCRONE, CO SLIGO",Sligo,,35242.0,No,No,Second-Hand Dwelling house /Apartment,,2016,4
2016-06-20,"43 COOLEVIN PARK, COOSAN, ATHLONE",Westmeath,,188000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,6
2016-09-06,"12 THE BUTTERMARKET, QUAY ST, SLIGO",Sligo,,42000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,9
2016-12-20,"62 SEVILLE LAWNS, CALLAN RD, KILKENNY",Kilkenny,,285000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,12
2016-11-28,"54 SILVERWOOD, MOUNTMELLICK, LAOIS",Laois,,85000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,11
2016-06-17,"619 BROOKFIELD HALL, CASTLETROY, LIMERICK",Limerick,,42050.0,No,No,Second-Hand Dwelling house /Apartment,,2016,6
2016-02-22,"28 LEIN GARDENS, COOLOCK, DUBLIN 5",Dublin,,253000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,2
2016-12-16,"30 WOODSIDE, DODDER PARK RD, RATHFARNHAM DUBLIN 14",Dublin,,575000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,12
2016-09-30,"17 DOMINIC ST, CASHEL, TIPPERARY",Tipperary,,170000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,9
2016-03-11,"28 THE STRAND, OCALLAGHAN STRAND, LIMERICK",Limerick,,250000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,3
2016-08-11,"3 RUSHBROOKE COMMERCIAL CENTRE, COBH, CORK",Cork,,60000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,8
2016-07-01,"APT. NO 21 INIS CHLAIR, KILDYSART ROAD, ENNIS",Clare,,68000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,7
2016-01-06,"TISSASSON, KINSALE, CORK",Cork,,295000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,1
2016-08-04,"14 RICHMOND EST, FAIRVIEW, DUBLIN 3",Dublin,,332650.0,No,No,Second-Hand Dwelling house /Apartment,,2016,8
2016-05-26,"28 DROMORE RISE, RAHEEN HEIGHTS, LIMERICK",Limerick,,363000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,5
2016-06-29,"27 PINEWOODS, GREENPARK, CLONDALKIN DUBLIN 22",Dublin,,235000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,6
2016-08-09,"25 CLIFDEN GLEN, GALWAY RD, CLIFDEN",Galway,,66000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,8
2016-06-24,"34 AN BONNAN BUI WAY, BLACKLION, CO CAVAN",Cavan,,53000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,6
2016-09-01,"5 KERNANSTOWN TERRACE, BENNEKERRY, CARLOW",Carlow,,117500.0,No,No,Second-Hand Dwelling house /Apartment,,2016,9
2016-01-21,"17 CLONCURRY HOUSE, SPENCER DOCK, DUBLIN 1",Dublin,,431000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,1
2016-06-22,"CARRICKBOYLE DERRYBEG, LETTERKENNY, DONEGAL",Donegal,,80000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,6
2016-02-24,"CORRAIGE, KNOCKALOUGH, KILRUSH",Clare,,64000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,2
2016-05-10,"Killua, Clonmellon",Westmeath,,180000.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,5
2016-10-10,"APARTMENT 6, THE CASTLE INN, GREENCASTLE",Donegal,,44166.67,No,No,Second-Hand Dwelling house /Apartment,,2016,10
2016-09-29,"61 Ashley Hall, St. Edmunds, Palmerstown",Dublin,,111184.14,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,9
2016-06-30,"THE BUNGALOW, LAGILE, CRATLOE",Clare,,140000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,6
2016-08-30,"6 OLD SCHOOL HOUSE, PATRICKSWELL, LIMERICK",Limerick,,140000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,8
2016-07-14,"9 BAYSIDE GLEN, WICKLOW, WICKLOW",Wicklow,,475000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,7
2016-11-22,"No 113 Evanwood, Gold Links Road, Caastletroy",Limerick,,223348.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,11
2016-10-25,"BALLYBREEN, KILTEALY, ENNISCORTHY",Wexford,,43000.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,10
2016-11-25,"45 RATHMINES TOWN CENTRE, LOWER RATHMINES RD, RATHMINES DUBLIN 6",Dublin,,225000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,11
2016-02-26,"11 LORD LEITRIM COURT, LOUGH RYNN CASTLE, MOHILL",Leitrim,,75000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,2
2016-10-28,"38 HEATHFIELD CLOSE, KINNEGAD, MULLINGAR",Westmeath,,240000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,10
2016-12-21,"18 MONASTERY, ENNISKERRY, CO. WICKLOW",Wicklow,,100000.0,Yes,No,Second-Hand Dwelling house /Apartment,,2016,12
2016-12-07,"BARNLOUGH, BANSHA, CO TIPPERARY",Tipperary,,220000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,12
2016-04-06,"41 TYMON CRESCENT, OLD BAWN, TALLAGHT DUBLIN 24",Dublin,,280000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,4
2016-02-29,"110 Sutton Park, Sutton, Dublin 13",Dublin,,210000.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,2
2016-12-21,"63 KELLYS BAY HEIGHTS, SKERRIES, DUBLIN",Dublin,,180000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,12
2016-09-16,"APT 4 MILL WHARF, MERCHANTS QUAY, DROGHEDA",Louth,,50000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,9
2016-02-24,"OLD SCHOOL HOUSE, ATTANAGH, CO LAOIS",Laois,,115000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,2
2016-03-01,"6 COOLATREE CLOSE, BEAUMONT, DUBLIN 9",Dublin,,300000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,3
2016-05-06,"11 TALBOT PARK, BOHERLAHANN, CASHEL",Tipperary,,10325.0,Yes,No,Second-Hand Dwelling house /Apartment,,2016,5
2016-09-08,"10 Mullary Manor, Tinure, Drogheda",Louth,,220000.0,No,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,9
2016-11-01,"14 CLOONLARA SQ, THE PHEONIX PARK RACECOURCE, CASTLEKNOCK DUBLIN 15",Dublin,,318000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,11
2016-10-27,"4 TORCA VIEW, DALKEY, DUBLIN",Dublin,,735000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,10
2016-08-18,"4 Boycetown Court, Boycetown, Kilcock",Kildare,,321585.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,8
2016-12-06,"9 DEERHAVEN VIEW, CLONEE, DUBLIN 15",Dublin,,265000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,12
2016-11-18,"APT.2 - MAIN STREET, MENLOUGH, BALLINASLOE",Galway,,60000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,11
2016-04-15,"10 HOLLYBROOK, BRIGHTON RD, FOXROCK",Dublin,,640000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,4
2016-11-30,"MAIN ST, STRADBALLY, LAOIS",Laois,,92500.0,No,No,Second-Hand Dwelling house /Apartment,,2016,11
2016-08-04,"23 DUN AN OIR COTTAGES, BALLYFERRITER, TRALEE",Kerry,,130000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,8
2016-05-20,"24 BRINDLEY PARK SQ, ASHBOURNE, MEATH",Meath,,165000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,5
2016-07-22,"46 LAUREL PARK, NEWCASTLE, GALWAY",Galway,,218000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,7
2016-10-04,"11 THE MAPLES, OAKLEIGH WOOD, ENNIS",Clare,,220000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,10
2016-01-08,"16 Straffan Manor, New Road, Straffan",Kildare,,572687.22,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,2016,1
2016-03-14,"26 PINEVIEW RISE, TALLAGHT, DUBLIN 24",Dublin,,248000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,3
2016-12-16,"65 CARLTON SUITES, HENRY ST, LIMERICK",Limerick,,235000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,12
2016-02-15,"HAGFIELD, CHARLESTOWN, MAYO",Mayo,,152000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,2
2016-04-06,"2 RUANBEG PLACE, RUANBEG MANOR, KILDARE",Kildare,,190000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,4
2016-03-01,"Apt 10 Adelaide House, 7/8 Haddington Terrace, Dun Laoghaire",Dublin,,250000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,3
2016-12-14,"FOSCADH DRUMGARVE, KILMEENA, WESTPORT",Mayo,,160000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,12
2016-10-07,"52 UPPER GLENCAIRN, RIVERSTOWN, GLANMIRE",Cork,,312000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,10
2016-03-16,"601 Brookefield Hall, Castletroy, Limerick",Limerick,,41694.44,No,No,Second-Hand Dwelling house /Apartment,,2016,3
2016-12-20,"PEN Y DRE, WHITEROCK HILL, WEXFORD",Wexford,,275000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,12
2016-03-16,"92 Park Avenue, Swords",Dublin,,168000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,3
2016-12-16,"1 RICHMOND, ELM VALE, WILTON",Cork,,99600.0,No,No,Second-Hand Dwelling house /Apartment,,2016,12
2016-11-02,"SNUGSBORO, EMILL, CLOUGHJORDAN",Tipperary,,75000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,11
2016-08-31,"31 CASTLE COURT, BOOTERSTOWN, DUBLIN",Dublin,,956500.0,No,No,Second-Hand Dwelling house /Apartment,,2016,8
2016-06-21,"7 Glendale, The Nurseries, Delgany",Wicklow,,559471.0,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,2016,6
2016-02-26,"28 Dooroge Woods, Ballyboughal",Dublin,,378854.63,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,2016,2
2016-04-22,"ASHLEY MEADOWS, GREENPARK, DUNSHAUGHLIN",Meath,,363000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,4
2016-10-26,"11 THE HAZELS, DOWNSTOWN MANOR, DULEEK",Meath,,175000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,10
2016-06-23,"23  Beresford Green, Donabate, Co Dublin",Dublin,,396476.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,6
2016-03-04,"4 HADDINGTON PARK, GLENAGEARY, DUBLIN",Dublin,,620000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,3
2016-02-12,"ashleigh park, ardcroney, nenagh",Tipperary,,263500.0,No,No,Second-Hand Dwelling house /Apartment,,2016,2
2016-08-02,"7 THE BEECHES, SALLINS ROAD, NAAS",Kildare,,110000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,8
2016-07-13,"FAUGHILL, CLOONE, LEITRIM",Leitrim,,58000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,7
2016-04-08,"37 Landen Park, Oldtown, Demesne",Kildare,,368000.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,4
2016-08-25,"BALLINTARMON, ANNASCAUL, CO KERRY",Kerry,,45000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,8
2016-11-07,"58 THE GREEN, LANESBORO, CO LONGFORD",Longford,,72000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,11
2016-04-22,"17 EARL COURT, LOUGH RYNN ESTATE, MOHILL",Leitrim,,60000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,4
2016-08-08,"10 STREAMVILLE COURT, KILLINEY HILL RD, KILLINEY",Dublin,,320000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,8
2016-12-08,"Cluiderevagh, Cluide, Corrandulla",Galway,,50000.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres,2016,12
2016-10-28,"43 BELLINGHAM GREEN, CASTLEBELLINGHAM, LOUTH",Louth,,172000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,10
2016-06-20,"64 COLLEGE PARK, NEWBRIDGE, CO KILDARE",Kildare,,230000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,6
2016-12-16,"52 THE ESTUARY, SOMERVILLE, TRAMORE",Waterford,,168000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,12
2016-09-23,"3 GORTBOY COURT, NEWCASTLEWEST, CO LIMERICK",Limerick,,80000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,9
2016-07-07,"LOUGHDAN, NEWRATH, WATERFORD",Kilkenny,,230000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,7
2016-04-28,"19 BURGAGE CRESENT, NEWCASTLE DUBLIN, DUBLIN",Dublin,,269000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,4
2016-03-04,"53 SLADE CASTLE COURT, SAGGART, CO DUBLIN",Dublin,,140000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,3
2016-12-23,"42 COOLMORE STUD, FETHARD, TIPPERARY",Tipperary,,300000.0,Yes,No,Second-Hand Dwelling house /Apartment,,2016,12
2016-09-14,"151 Schoolhouse Road, Monaleen",Limerick,,236000.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,9
2016-10-06,"MAIN STREET, CASTLELYONS, CO. CORK",Cork,,35000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,10
2016-06-03,"APT 1 BLOCK B, CLIFDEN STATION HOUSE, CLIFDEN",Galway,,52317.49,No,No,Second-Hand Dwelling house /Apartment,,2016,6
2016-03-08,"17 GOLDENBRIDGE AVE, INCHICORE, DUBLIN 8",Dublin,,305000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,3
2016-09-26,"7 AVOCA RD, BLACKROCK, DUBLIN",Dublin,,972000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,9
2016-09-15,"49 CEDAR VIEW, RIDGEWOOD, FOREST RD",Dublin,,290000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,9
2016-05-23,"59 CHURCHWELL DR, BELMAYNE, DUBLIN 17",Dublin,,250000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,5
2016-02-19,"3 CHAPEL STREET, CLOYNE, CO CORK",Cork,,105000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,2
2016-10-18,"23 THE ORCHARD, MOYLOUGH, BALLINASLOE",Galway,,106000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,10
2016-08-02,"1 ENAVILLE AVE, NORTH STRAND, DUBLIN 3",Dublin,,114000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,8
2016-03-10,"CLONEE, KILLOE, CO LONGFORD",Longford,,95000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,3
2016-11-11,"15 LADYCOVE, PALMER RD, RUSH",Dublin,,197000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,11
2016-09-02,"10 COLLEGE FARM AVE, NEWBRIDGE, KILDARE",Kildare,,197000.0,Yes,No,Second-Hand Dwelling house /Apartment,,2016,9
2016-02-05,"19 GHLEANN BUI, BALLYMACODA, CO. CORK",Cork,,130000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,2
2016-08-12,"15 LIOS NA COILLE, ESKER HILLS GOLF CLUB, OFFALY",Offaly,,124300.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,8
2016-08-31,"13 LADYS VIEW, THE MILES, CLONAKILTY",Cork,,210000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,8
2016-06-24,"APT 2 FRIAR STREET, NENAGH, CO TIPPERARY",Tipperary,,30333.0,No,No,Second-Hand Dwelling house /Apartment,,2016,6
2016-02-29,"90 BEECHWOOD LAWNS, RATHCOOLE, DUBLIN",Dublin,,310000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,2
2016-08-09,"73 ROWAN HILL, MOUNT OVAL VILLAGE, ROCHESTOWN",Cork,,326500.0,No,No,Second-Hand Dwelling house /Apartment,,2016,8
2016-04-28,"29 Belarmine Walk, Belarmine Woods, Stepaside",Dublin,,352423.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,4
2016-05-17,"86 COPPINGER GLADE, STILLORGAN PARK, STILLORGAN",Dublin,,433000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,5
2016-12-22,"149 LUDFORD ROAD, DUNDRUM, DUBLIN 16",Dublin,,672500.0,No,No,Second-Hand Dwelling house /Apartment,,2016,12
2016-09-21,"311 CHARLEMONT, GRIFFITH AVE, DUBLIN 9",Dublin,,435000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,9
2016-05-16,"44 SION HILL PARK, DRUMCONDRA, DUBLIN 9",Dublin,,555066.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,5
2016-08-30,"143 RATOATH RD, CABRA WEST, DUBLIN 7",Dublin,,240000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,8
2016-10-05,"38 BROOKHURST, COLLINS AVE, WATERFORD",Waterford,,201000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,10
2016-10-27,"ARDILEA, ENNISTYMON RD, LAHINCH",Clare,,73333.0,No,No,Second-Hand Dwelling house /Apartment,,2016,10
2016-10-20,"91 PINEWOOD GREEN, BALBRIGGAN, CO DUBLIN",Dublin,,170000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,10
2016-10-06,"14 CLONATTIN, GOREY, WEXFORD",Wexford,,231000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,10
2016-05-30,"MUCKLAGH, CARRAHOLLY, WESTPORT",Mayo,,167000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,5
2016-08-15,"41 Steeplechase Hill, Ratoath",Meath,,415000.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,8
2016-09-02,"55 MOUNT PROSPECT GROVE, CLONTARF, DUBLIN 3",Dublin,,565000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,9
2016-02-17,"77 WEST PARK, BLESSINGTON, WICKLOW",Wicklow,,210000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,2
2016-11-25,"23 ST RONANS TERRACE, DUNDALK, LOUTH",Louth,,125000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,11
